Common Name,Scientific Name,Family,Grows in CA,Wild in CA,Cultivated in CA,Cultural Significance,Standout Visual Identifier,Kid-Friendly ID Tip,Distinguishing Features,Similar Species*,Differences from Look-Alikes*,Seasonal Timeline*,Seasonal Changes,Leaf Type*,Leaf Complexity*,Leaf Arrangement*,Leaf Shape*,Leaf Length*,Leaf Characteristics*,Autumn Leaf Color*,Needle Arrangement,Needle Length,Needle Characteristics,Flower Description*,Fruit or Cone Description*,Cone Size & Shape,Cone Position*,Seed Dispersal Mechanism*,Smell*,Bark (Young Tree),Bark (Mature Tree),Winter ID Features*,Tree Shape (Young),Tree Shape (Mature),Branch Pattern,Height Range,Growth Rate,Habitat,Region,Elevation Range,Climate Preferences,Toxicity
Sitka Spruce,Picea sitchensis,Pine,Yes (extreme north coast).,No,Unlikely,Major timber species in the Pacific Northwest; historically used by indigenous peoples for various tools.,"Very tall spruce with sharp, stiff needles and thin, scaly bark; often near coasts.","Needles are super sharp, so be careful touching them—Spruce is 'spiky'!","Flattened, stiff needles, often 1 inch or more, each needle's base on a woody peg; cones with thin, papery scales.","Engelmann Spruce (in inland areas), but Sitka is coastal, bigger cones.",Native California oaks have different leaf textures and deeper lobes. Japanese Blue Oak has glossy bluish-green leaves year-round.,"New growth in spring (bright green tips), cones develop and mature by late summer/fall.","Evergreen, minimal color change except bright new tips in spring.",Evergreen needles.,N/A,"Sprial around twig, radial distribution.","Needles, ~1 inch, stiff, pointed.","~1 inch, can be up to 1.5 inches.","Sharp tip, four-sided cross-section, stiff.",Evergreen.,"Radial, each on a small woody peg.",1–1.5 inches.,"Stiff, prickly, green to bluish-green.","Male cones small, cylindrical; female cones green/purple.","Cylindrical cones (2–4 inches) with thin, wavy scales.","2–4 inches, elongated, papery scales.",Hang from upper branches.,Wind.,"Slightly resinous, not as strong as some pines/firs.","Thin, gray, scaly.","Dark gray-brown, scaly plates.","Evergreen needles, hanging cones often present.","Conical, symmetrical.","Tall, narrow crown, drooping branches if near coast.",Horizontal with drooping tips near top in windy coastal areas.,80–200+ feet.,Fast in ideal moist conditions.,"Cool, moist coastal forests, foggy areas.",Northern CA coast into PNW and Alaska.,"Sea level to ~1,000 feet (coastal).","Mild, wet, coastal climates.",Low toxicity; ornamental species; acorns seldom eaten.
Sitka Spruce,Picea sitchensis,Pinaceae,Yes,Yes,Yes,One of the tallest conifers; used for musical instruments and aircraft.,Sharp blue-green needles and papery cones.,Watch out—its needles are poky!,"Stiff, sharp needles; papery cones; scaly gray-brown bark.",Engelmann Spruce (*Picea engelmannii*),Sharper needles and glossier foliage,Pollen in spring; cones mature in one season,New growth in spring; cones ripen late summer.,Evergreen,Simple,Spiral,Needle-like,0.75–1.25 inches,"Sharp, stiff, blue-green",None,Spiraled around twigs,0.75–1 inch,"Sharp, stiff, blue-green",Small cones near branch tips,Hanging cones 2–4 inches,"2–4 inches, papery, long",Hanging from branches,Wind,Strong spruce scent,Smooth and gray,Scaly and gray-brown,Sharp needles and hanging cones,Narrow conical,"Tall, open crown",Horizontal,150–250 feet,Fast,Coastal rainforests,Pacific Northwest and Northern California coast,"Sea level to 1,500 feet","Cool, wet, foggy",Non-toxic
Slippery Elm,Ulmus rubra,Ulmaceae,No,No,Rarely,Inner bark used medicinally for sore throats and digestion.,Large rough leaves and red-hairy buds.,Its leaves feel like sandpaper and its buds wear fuzzy hats!,"Rough-textured large leaves; dark, gummy inner bark; fuzzy red buds.",American Elm (*Ulmus americana*),Rougher leaves and slippery inner bark,Flowers in spring; samaras mature late spring,Yellow fall color; flowers in early spring.,Deciduous,Simple,Alternate,Oval with rough texture,4–6 inches,"Rough above, slippery below",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small reddish flowers,Flat samaras,Small samaras ~0.75 inch,Clusters on twigs,Wind,Spicy inner bark,Grayish and smoothish,"Dark, ridged, gummy inner bark",Corky bark and zigzag twigs,Upright,"Rounded, spreading",Alternate,40–70 feet,Moderate,Moist woods and streamsides,Eastern and Central U.S.,Low to mid elevations,"Moist, temperate",Non-toxic
Smooth Alder,Alnus serrulata,Betulaceae,No,No,Rarely,Eastern wetland alder; stabilizes streambanks and fixes nitrogen.,Smooth bark and persistent cones.,Its cones look like tiny pineapples!,"Simple, serrated leaves; smooth gray bark; woody cones.",Speckled Alder (*Alnus incana*),More southern range and smoother bark,Catkins in spring; seeds ripen early summer,Yellow fall color; catkins bloom in early spring.,Deciduous,Simple,Alternate,Oval to oblong,2–4 inches,"Serrated edges, dull green",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender catkins,Small winged nutlets,0.5 inch woody cones,At twig tips,Wind and water,Faintly earthy,"Smooth, light gray","Smooth, light gray",Slender stems and persistent catkins,Shrubby,Rounded large shrub or small tree,Alternate,10–30 feet,Moderate,"Streambanks, swamps",Eastern U.S.,Low elevations,"Moist, temperate",Non-toxic
Sonoran Blue Oak,Quercus oblongifolia,Beech,Yes,Yes,Likely,Native to southwestern US & northern Mexico; acorns used by indigenous peoples. Important for wildlife.,"Bluish-gray evergreen leaves, small acorns, forms shrubby or small tree in desert mountains.",Look for bluish leaves that stay on all year in desert-like mountain areas!,Evergreen oak with oblong or elliptic leaves that have a bluish waxy coating.,"Arizona Blue Oak (Quercus arizonica), but Q. oblongifolia typically smaller leaves.","Western White Pine cones are 5–10 inches long, while Sugar Pine cones can reach up to 20 inches—much longer!",Flowers (catkins) in spring; acorns mature by fall of same or following year.,"Evergreen, though may drop some leaves in very dry or cold spells.",Evergreen broadleaf,Simple,Alternate,Oblong to elliptical,1–2 inches,"Bluish-green, leathery, usually entire margins",Evergreen,N/A,N/A,N/A,"Inconspicuous catkins, yellowish-green in spring","Acorns ~1 inch long, shallow cup",N/A,N/A,"Wildlife (birds, rodents)",Leaves have mild odor if crushed,"Smooth, light gray","Light gray, slightly fissured or checkered","Bluish evergreen leaves, some older leaves may drop in winter","Shrubby, multi-stemmed","Small tree up to ~20 feet, rounded crown","Irregular, branching low to ground",10–20 feet (occasionally taller),Slow to moderate,"Desert foothills, canyon slopes, oak woodland in arid regions","Extreme southeastern CA, near Sonoran Desert region","~2,000–5,000 feet","Hot, dry summers, mild winters, some monsoon moisture",Non-toxic; resin historically chewed like gum by some.
Southern California Walnut,Juglans californica,Walnut,Yes,Yes,Unlikely,Native to SoCal valleys; historically important to indigenous peoples for nuts; many stands replaced by urbanization.,"Smaller walnut with multiple trunks often, pinnately compound leaves, smaller nuts than northern walnut.",Look for a smaller walnut tree with multiple trunks and littler nuts!,"Often shrubby or multi-stemmed, smaller nuts, leaflets can be fewer (7–15).",Northern California Walnut is generally bigger with larger nuts and single trunk.,Utah Juniper is smaller and more shrubby. Western Juniper typically grows taller and has a stronger gin-like aroma.,Leaf out in spring; catkins in spring; nuts mature in fall.,Deciduous; leaves turn yellowish-brown in autumn.,Deciduous broadleaf,Pinnately compound (7–15 leaflets),Alternate,"Leaflets lanceolate, 2–4 inches each",Whole leaf 6–12 inches,"Green, slightly fuzzy underside, mild serration",Yellowish-brown,N/A,N/A,N/A,"Male catkins droop, female flowers at twig tips","Round green husks, about 1–1.5 inches, smaller walnuts inside",N/A,N/A,"Squirrels, gravity, water",Walnut odor if leaves or husks are crushed,"Grayish, relatively smooth","Shallowly furrowed, gray-brown","Bare branches, multiple trunks, stout twigs with large buds","Shrubby, multi-stemmed","Small to medium tree, broad crown, multiple trunks typical","Spreading, forming a rounded crown",15–50 feet,Moderate,"Valley floors, streamsides in Southern CA",Coastal valleys and foothills of Southern California,"Sea level to ~2,000 feet","Mediterranean, mild winters, dry summers, some groundwater","Juniper “berries” (actually cones) are used as a spice but can be harmful in large quantities, especially to pets."
Speckled Alder,Alnus incana subsp. rugosa,Betulaceae,No,No,Rarely,Important riparian shrub in northeastern forests.,Bark speckled with pale lenticels and cone-like fruit.,Its bark has freckles!,"Gray bark with speckles, oval serrated leaves, persistent cones.",Smooth Alder (*Alnus serrulata*),Distinctive white lenticels on bark,Catkins in spring; seeds ripen summer,Yellow fall color; early spring catkins.,Deciduous,Simple,Alternate,Oval to oblong,2–4 inches,"Serrated, dull green, paler beneath",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender reddish catkins,Small winged nutlets,0.5–1 inch woody cones,At twig tips,Wind,Mildly earthy,"Smooth, speckled gray",Remains smooth with lenticels,Speckled bark and catkin buds,Shrubby,Multi-stemmed large shrub or small tree,Alternate,15–30 feet,Fast,Wetlands and streambanks,Northern and Northeastern U.S.,Low to mid elevations,"Cool, moist soils",Non-toxic
Spruce Pine,Pinus glabra,Pinaceae,No,No,Rarely,Shade-tolerant pine of the southeastern U.S.; grows in moist forests.,"Slender pine with short, dark green needles in pairs.",It’s a sneaky pine that hides in the shade!,"Two needles per bundle, smooth gray bark when young, small cones.",Loblolly Pine (*Pinus taeda*),More shade tolerant and softer needles,Pollen in spring; cones mature fall,New needles emerge in spring; cones mature over two years.,Evergreen,Simple,Spiral,Needle-like,3–5 inches,"Dark green, soft, flexible",None,Bundles of 2,2–4 inches,"Dark green, flexible",Small yellow pollen cones,Small ovoid cones,"1.5–2.5 inches, oval",Hanging from branches,Wind,Piney and fresh,Smooth and gray,"Dark, furrowed",Slender twigs and small cones,Narrow pyramid,"Open crown, irregular",Whorled,60–100 feet,Moderate,Moist hardwood forests,Southeastern U.S.,Low elevations,"Warm, humid",Non-toxic
Striped Maple,Acer pensylvanicum,Sapindaceae,No,No,Rarely,Understory tree in eastern forests; distinctive green-striped bark.,Green bark with white vertical stripes.,Its bark looks like it’s wearing pajamas!,"Goose-foot-shaped leaves, striped bark, shrubby form.",Mountain Maple (*Acer spicatum*),Striped green bark and 3-lobed leaves,Flowers in spring; samaras mature late summer,Bright yellow fall foliage.,Deciduous,Simple,Opposite,3-lobed,4–6 inches,"Large, 3-lobed, finely toothed",Bright yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small yellow-green flowers,Paired winged samaras,Small paired samaras,Hanging in clusters,Wind,Neutral,Bright green with white stripes,Becomes brown and flaky,Striped green bark and opposite buds,Shrubby,Small understory tree,Opposite,15–30 feet,Slow to moderate,"Cool, moist forests",Northeastern U.S. and Appalachians,"1,000–4,000 feet","Cool, shaded, moist",Non-toxic
Subalpine Fir,Abies lasiocarpa,Pinaceae,Yes,Yes,Yes,"High-elevation fir with narrow form adapted to cold, snowy sites.","Tall, spire-shaped with bluish needles and upright cones.",It’s the pointiest tree in the mountains!,"Short, bluish needles; narrow crown; resin blisters on bark.",Grand Fir (*Abies grandis*),"Shorter cones and narrow, upright form",Pollen in spring; cones mature fall of first year,New growth in spring; cones disintegrate in place by fall.,Evergreen,Simple,Spiral,Needle-like,1–1.5 inches,"Narrow, soft, blue-green",None,Two-ranked,1–1.5 inches,"Bluish, soft, slightly curved",Tiny yellow cones,Small upright cones,"2–4 inches, upright",Upper branches,Wind,Resinous,"Smooth, gray with resin blisters",Rough and scaly,Upright narrow form and small cones,Spindly pyramid,"Tall, narrow spire","Whorled, horizontal",50–100 feet,Slow,Subalpine forests,"Western U.S. mountains, including CA","7,000–11,000 feet","Cold, snowy, short growing season",Non-toxic
Sugar Pine,Pinus lambertiana,Pine,Yes,Yes,Likely,Tallest and largest of pines by cone length; 'Sugar' name from sweet resin. Important timber tree.,"Extremely long cones (up to 20 inches) hanging from branches, long needles in fascicles of 5.","Look for the longest pine cones you’ve ever seen, dangling like giant ornaments!",5-needle pine with huge dangling cones; bark becomes purplish-brown and deeply fissured in age.,"Western White Pine (Pinus monticola), but sugar pine cones are much longer.","Often confused with Wax Myrtle, but Pacific Bayberry has thicker, shinier leaves and a strong spicy smell when crushed.",Cone development over 2 years; pollination in spring; cones mature in late summer of second year.,"Evergreen needles remain, minimal color changes.",Evergreen needles,N/A,Fascicles of 5,"Long, slender needles ~2–4 inches",2–4 inches (each needle),"Flexible, bluish-green hue, slightly serrated edges",Evergreen,Bundles of 5,2–4 inches,"Soft, slightly glaucous (bluish cast)","Male cones small and cylindrical; female cones greenish, elongated","Very long (10–20 inches), hangs down from branches","10–20 inches, cylindrical, slightly curved","Pendulous, hanging from branch tips","Wind, seeds with large wings",Light resin scent,"Thin, grayish-green, smooth-ish","Deeply fissured, purplish to reddish-brown plates","Evergreen 5-needle bundles, giant cones may remain on or under tree","Conical, symmetrical","Tall trunk, broad crown high up","Whorled branches, drooping at ends where cones form",100–200+ feet,Moderate,Mixed conifer forests at mid elevations,"Sierra Nevada, southern Cascades","~3,000–7,500 feet","Snowy winters, mild summers, well-drained soils",Generally considered non-toxic; leaves are aromatic and not usually eaten. Large amounts may irritate sensitive individuals.
Sweet Birch,Betula lenta,Betulaceae,No,No,Rarely,Source of wintergreen oil; valued for strong wood and bark aroma.,Shiny dark bark that smells like wintergreen.,Scratch the bark—it smells like gum!,"Shiny bark, horizontal lenticels, oval leaves with fine teeth.",Yellow Birch (*Betula alleghaniensis*),Stronger wintergreen scent and darker bark,Catkins in spring; seeds ripen in summer,Bright yellow fall color.,Deciduous,Simple,Alternate,Oval with serrated edge,2–4 inches,"Glossy above, hairy beneath",Yellow to golden,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender reddish catkins,Tiny winged nutlets,Catkins with tiny seeds,End of twigs,Wind,Strong wintergreen scent,"Smooth, dark brown with lenticels","Dark, scaly, resembling cherry bark",Dark bark and strong twig scent,Upright,Broad and spreading,Alternate,50–80 feet,Moderate,"Cool, moist forests","Eastern U.S., Appalachians",Low to mid elevations,"Cool summers, moist soils",Non-toxic
Sycamore Maple,Acer pseudoplatanus,Sapindaceae,Yes,No,Yes,Large European maple with mottled bark; often planted in cities.,Broad leaves and patchy bark like a puzzle.,Its bark looks like a jigsaw puzzle!,"Large lobed leaves, thick petioles, flaking bark.",Norway Maple (*Acer platanoides*),More leathery leaves and patchy bark,Flowers in spring; samaras mature in fall,Yellow fall foliage; flowers in spring.,Deciduous,Simple,Opposite,5-lobed,4–7 inches,"Thick, dark green, often spotted underside",Yellow to brown,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small yellow-green clusters,Large paired samaras,Large double samaras,Hanging pairs,Wind,Faintly sweet,Smooth and gray-green,"Peeling, multicolored patches",Patchy bark and large opposite buds,Rounded,"Broad, rounded crown",Opposite,60–100 feet,Moderate,Urban and park settings,Europe; widely planted,Low to mid elevations,Cool to temperate; tolerates pollution,Toxic to horses
Tatarian Maple,Acer tataricum,Sapindaceae,Yes,No,Yes,"Small, drought-tolerant maple from Eurasia; used ornamentally.",Small tree with reddish winged seeds and rounded leaves.,Its seeds fly like little helicopters!,"Simple leaves, red samaras, shrubby growth.",Amur Maple (*Acer ginnala*),Broader leaves and more upright form,Flowers in spring; samaras ripen in summer,Yellow to red fall color; red winged samaras in summer.,Deciduous,Simple,Opposite,Broadly ovate or 3-lobed,2–4 inches,"Broad, toothed, sometimes 3-lobed",Yellow to red,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Greenish-yellow in panicles,Small paired samaras,Small paired samaras,Opposite on twigs,Wind,Neutral,Smooth and gray-brown,Shallowly ridged,Smooth bark and shrubby habit,Rounded,"Broad, compact crown",Opposite,15–25 feet,Moderate,Urban plantings,Eastern Europe and Asia; cultivated globally,Low elevations,"Drought-tolerant, urban-hardy",Non-toxic
Thinleaf' Speckled Alder,Alnus incana subsp. tenuifolia,Betulaceae,Yes,Yes,Rarely,Mountain streamside alder; important for erosion control and nitrogen fixation.,Speckled bark and thin leaves with doubly serrated edges.,Its bark has freckles and its leaves are super wiggly!,"Smooth bark with lenticels, thin serrated leaves, small cones.",Speckled Alder (*Alnus incana*),Thinner leaves and more finely toothed,Catkins in spring; seeds ripen by summer,Yellow fall color; early spring catkins.,Deciduous,Simple,Alternate,Narrow oval,1.5–3 inches,"Thin, dull green, finely serrated",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender reddish catkins,Tiny winged nutlets,0.5–1 inch woody cones,Tip of twigs,Wind and water,Mild earthy scent,"Smooth, speckled gray","Remains speckled, may darken",Fine twigs with speckled bark,Shrubby,Tall shrub or small tree,Alternate,15–30 feet,Fast,Mountain streamsides,Western North America including CA,"2,000–10,000 feet","Cool, moist",Non-toxic
Torrey Pine,Pinus torreyana,Pine,Yes,Yes,Likely,Rarest pine in the U.S.; native stands near San Diego. Conservation icon for threatened habitats.,"Very long needles in bundles of 5, thick heavy cones, found near coastal bluffs.",Find a pine with super long needles near the beach—it's very rare!,"5-needle pine, ~8–13 inch needles, massive cones with large seeds. Often wind-sculpted, leaning on coastal bluffs.","Gray Pine has 3 needles, so Torrey Pine is unique with 5 long needles.",Eastern Dogwood has smaller bracts. Pacific Dogwood’s large white bracts and layered branching are distinctive in western regions.,"Evergreen; cones can persist for years, gradually releasing seeds. Pollination in winter/spring.","Minimal, older needles drop occasionally.",Evergreen needles,N/A,Fascicles of 5,"Long, stout needles ~8–13 inches",8–13 inches,"Thick, somewhat rigid, bluish-green color",Evergreen,Bundles of 5,8–13 inches,"Stout, stiff, glaucous or bluish tinge","Male catkins cylindrical clusters; female cones large, woody","Cones 4–6 inches wide, thick scales, large edible seeds","4–6 inches, broad, heavy","Attached to branches, can remain for years","Wind, gravity, animals (like squirrels)","Piney, resinous, slightly coastal tang","Grayish-brown, somewhat furrowed","Deeply fissured, scaly plates","Evergreen, large cones visible, thick bundles of needles","Conical, but quickly becomes wind-influenced","Often leaning or contorted near coast, broad crown","Thick, rugged branches, sometimes twisted by wind",20–60 feet (rarely taller),Slow to moderate,"Coastal bluffs, sandy soils, very limited range","Torrey Pines State Reserve near San Diego, Santa Rosa Island",Sea level to a few hundred feet,"Mild coastal climate, salt and drought tolerant",Berries can cause mild stomach upset if eaten raw; bark is slightly astringent.
Trident Maple,Acer buergerianum,Sapindaceae,Yes,No,Yes,Popular in bonsai and as a small street tree.,"Three-lobed leaves and smooth, flaking bark.",Its leaves look like pitchforks!,"Small size, three-lobed leaves, mottled bark.",Japanese Maple (*Acer palmatum*),Trident-shaped lobes and smooth bark,Flowers in spring; samaras mature by fall,Orange to red fall foliage.,Deciduous,Simple,Opposite,3-lobed (trident),2–4 inches,"Smooth, glossy, with 3 shallow lobes",Bright red to orange,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Yellow-green clusters,Small paired samaras,Small double samaras,Opposite on twigs,Wind,Neutral,Smooth and light gray,"Peeling in patches, exposing orange and brown",Trident bud scars and smooth bark,Upright and compact,Rounded and dense,Opposite,20–35 feet,Moderate,Urban plantings and gardens,"China, Korea, Japan; cultivated in U.S.",Low elevations,"Urban-hardy, prefers well-drained soil",Non-toxic
Valley Oak,Quercus lobata,Beech,Yes,Yes,Likely,One of the largest and most iconic oaks in CA; historically critical acorn source for indigenous tribes; key wildlife habitat in valleys.,"Massive trunk and broad crown, deeply lobed leaves, large elongated acorns.","Look for an enormous oak with big, wavy-lobed leaves in the valley!","Deeply lobed leaves, huge trunk with ridged bark, can reach immense width and height. Acorns long, up to 2 inches.","Blue Oak (Quercus douglasii) has bluer leaves, smaller size; also Oregon White Oak (Q. garryana).",Other Amelanchier species can appear similar. Western Serviceberry is specifically found in cooler mountain or foothill habitats.,"Leaf out in spring, flowers (catkins) in spring, acorns mature by fall.","Deciduous; leaves turn yellowish-brown in fall, often dropping around late autumn.",Deciduous,Simple,Alternate,"Deeply lobed, 3–5 lobes per side, up to 4 inches",2–4 inches,"Green above, paler underside, somewhat fuzzy when young",Yellowish to brown,N/A,N/A,N/A,"Male catkins drooping, female flowers inconspicuous on twigs","Acorns up to 1–2 inches long, caps scaly, covering about 1/3",N/A,N/A,"Birds (jays), squirrels, gravity","Leaves faint earthy smell, acorns mild","Light gray, relatively smoothish","Thick, furrowed, dark gray-brown with deep cracks","Bare, thick branches, large buds, massive trunk","Upright, forming broad crown early","Huge canopy, spreading limbs, can be majestic in open areas","Wide-spreading, heavy limbs, sometimes drooping",40–100 feet (can be taller in ideal settings),Moderate,"Valley floors, savannas, along streams in foothills","Central Valley, Coast Range valleys, Sierra foothill valleys","Below ~2,000 feet typically","Mediterranean climate with winter rains, hot dry summers",Berries are generally safe and edible. Seeds/leaves have mild cyanogenic compounds but rarely cause issues in small amounts.
Vine Maple,Acer circinatum,Sapindaceae,Yes,Yes,Yes,Native understory maple of the Pacific Northwest; used ornamentally.,Lobed leaves with rounded edges and reddish twigs.,Its branches twist like vines!,"Multi-stemmed form, opposite twigs, bright fall color.",Mountain Maple (*Acer spicatum*),"Wider-spreading, delicate branches",Flowers in spring; seeds ripen in summer,Red or orange fall foliage; flowers in spring.,Deciduous,Simple,Opposite,Palmately lobed,3–5 inches,"Delicate, light green, finely lobed",Fiery red to yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small greenish-white clusters,Small paired winged samaras,Small paired samaras,Hanging in clusters,Wind,Neutral to sweet,Smooth and greenish,"Grayish, may become rough",Red twigs and arching form,Shrubby and spreading,"Rounded, low canopy",Opposite,10–25 feet,Slow to moderate,Moist forest understory,Pacific Northwest and Northern California,"Sea level to 5,000 feet","Cool, moist, shaded",Non-toxic
Virginia Birch,Betula lenta var. uber,Betulaceae,No,No,Rarely,Endangered birch variety native to Virginia’s mountains.,Similar to sweet birch but shorter and shrubbier.,It’s the mini minty birch!,"Smooth dark bark, fragrant twigs, small size.",River Birch (*Betula nigra*),Smaller leaves and more shrubby form,Catkins in spring; seeds mature summer,Yellow fall foliage.,Deciduous,Simple,Alternate,Oval with serrated edge,1–3 inches,"Dull green, serrated, hairy veins",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender catkins,Tiny winged nutlets,Catkins with tiny seeds,Branch tips,Wind,Neutral to slightly sweet,Smooth and dark,Becomes slightly scaly,Reddish bark and slender twigs,Shrubby and upright,"Small, open crown",Alternate,10–30 feet,Moderate,Mountain slopes and ravines,Southwestern Virginia,"2,000–4,000 feet","Cool, moist forest",Non-toxic
Water Birch,Betula occidentalis,Betulaceae,Yes,Yes,Rarely,Native birch of mountain streams; used for erosion control.,Reddish-brown bark with horizontal lenticels.,Its bark looks like cinnamon with dots!,"Smooth, dark bark; small, rounded leaves; multi-stemmed form.",Paper Birch (*Betula papyrifera*),Glossy leaves and redder twigs,Catkins in spring; seeds ripen in summer,Yellow fall foliage; catkins in spring.,Deciduous,Simple,Alternate,Rounded to ovate,1–2 inches,"Glossy green, doubly serrated",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Reddish catkins,Small nutlets in catkin-like clusters,Slender catkins,At twig tips,Wind,Mild earthy aroma,Smooth and red-brown,Remains smooth with lenticels,Red-brown twigs and tight buds,Shrubby,Multi-stemmed small tree,Alternate,15–30 feet,Moderate,Mountain streamsides,Western North America including CA,"3,000–10,000 feet","Cool, moist",Non-toxic
Water-elm,Planera aquatica,Ulmaceae,No,No,Rarely,Rare elm relative native to southeastern wetlands.,"Elm-like leaves and small, woody fruit (not samaras).",It’s an elm that grows in water but makes berries instead of wings!,"Simple, toothed leaves; rough bark; small nutlet fruit.",Elm (*Ulmus spp.*),Lacks the samaras of true elms,Flowers in spring; fruits by summer,Yellow fall foliage; blooms in spring.,Deciduous,Simple,Alternate,Oval with toothed edge,1–3 inches,"Coarse, serrated, elm-like",Yellow to brown,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small greenish flowers,Woody drupe-like fruits,Hard nutlets ~0.25 inch,Leaf axils,Water and gravity,Bark faintly spicy,"Smooth, gray-brown",Scaly and gray-brown,Twisting branches and rough bark,Upright,"Broad, rounded crown",Alternate,30–50 feet,Moderate,Swamps and floodplains,Southeastern U.S.,Low elevations,"Warm, wet",Non-toxic
Waterlocust,Gleditsia aquatica,Fabaceae,No,No,Rarely,Flood-tolerant legume tree with large seedpods and stout spines.,Thorny trunk and giant bean pods.,It’s the spiky tree with superhero bean pods!,Single-pinnate leaves; large twisted pods; sharp spines on trunk.,Honey Locust (*Gleditsia triacanthos*),Grows in wetter habitats and fewer thorns,Flowers in spring; seedpods ripen in fall,Yellow fall leaves; pods mature in summer/fall.,Deciduous,Compound,Alternate,Pinnate with small leaflets,6–12 inches,"Thin leaflets, smooth margins",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Inconspicuous greenish flowers,"Long, flat brown pods",Seedpods 6–12 inches,Hanging from branches,Water and gravity,Neutral,"Smooth, brown-gray","Rough, often thorn-covered",Bare twigs and few thorns,Narrow and upright,"Open, spreading crown",Alternate,30–60 feet,Moderate,"Floodplains, swamps",Southeastern and Central U.S.,Low elevations,"Warm, humid, wet",Non-toxic
Western Hemlock,Tsuga heterophylla,Pine,Yes,Yes,Unlikely,Important timber species in the Pacific Northwest; used by indigenous peoples for medicine and fuel.,"Slender trunk with drooping top, short flattened needles of varying length, small pendulous cones.",Look for the tree with the top drooping over like a 'shepherd’s crook' and different-sized needles.,"Needles of unequal length on the same twig, small 0.5–1 inch cones, drooping leader.","Mountain Hemlock (Tsuga mertensiana), but that has blunter needles and higher elevations.",California Red Fir bark develops a more reddish cast. Sierra White Fir needles are paler and cones a bit smaller than Red Fir.,"Evergreen; pollination in spring; small cones mature by late summer/fall, seeds drop in winter.",Minimal color change; new growth lighter green in spring.,Evergreen needles,N/A,"Spriral on twig, but appear in a somewhat 2-ranked pattern","Flat needles, variable length (0.25–0.75 inch)",0.25–0.75 inch,"Soft, bright green above, whitish bands below",Evergreen,"Varied, some along sides, some top/bottom of twig",0.25–0.75 inch,"Soft, flexible, short, tapered tips","Male pollen cones small, cylindrical; female cones small and greenish or pinkish","Pendulous cones 0.5–1 inch, thin papery scales","0.5–1 inch, oval, hanging down","At branch tips, drooping",Wind,Light resin smell,"Thin, gray-brown, relatively smooth","Deeply furrowed, dark brown, ridged","Drooping crown tip, small cones, short needles","Narrowly conical, drooping leader","Tall, gracefully drooping top and branches",Horizontal branches with nodding tips,50–200+ feet,Moderate to fast in moist conditions,"Moist coastal forests, fog belts",NW California coast into PNW,"Sea level to ~3,000 feet (coastal mountains)","Cool, moist climates with high rainfall/fog",Generally non-toxic; resin can irritate if ingested.
